epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2173,0.53606,0.73397,0.64454,1.1306,0.80433,0.7288,0.81967,0.54563,0.52307,0.46422,0.39039,0.17779,1.15185,8.44239,1.11332,1.64948,0.0671897,0.000331418,0.000331418
2,163.512,0.55417,0.66547,0.5214,1.12033,0.79751,0.81707,0.86443,0.60354,0.80081,0.83404,0.87508,0.6764,1.02219,1.10328,1.09352,1.68036,0.0341895,0.000664589,0.000664589
3,238.107,0.5437,0.6708,0.49721,1.10963,0.87356,0.82081,0.88337,0.69166,0.88788,0.81909,0.8806,0.67338,0.89154,1.72649,0.80494,1.29601,0.00118868,0.000997109,0.000997109
4,313.37,0.51275,0.6175,0.46164,1.08462,0.92695,0.82405,0.92687,0.74246,0.92816,0.83043,0.93093,0.83098,0.78429,0.69808,0.68164,1.17837,0.000997803,0.000997803,0.000997803
5,388.064,0.47253,0.58838,0.4195,1.05897,0.92093,0.92544,0.97176,0.82635,0.92058,0.92844,0.97483,0.86389,0.60812,0.5018,0.60984,1.05717,0.000996097,0.000996097,0.000996097
6,462.375,0.44641,0.55554,0.38952,1.04062,0.94901,0.91764,0.96933,0.83705,0.93895,0.93205,0.97387,0.8826,0.55277,0.47581,0.50478,0.99583,0.000993906,0.000993906,0.000993906
7,536.187,0.43454,0.54781,0.37261,1.03348,0.93355,0.93987,0.97416,0.84142,0.93766,0.94975,0.98312,0.8859,0.58941,0.47412,0.57648,1.02028,0.000991232,0.000991232,0.000991232
8,610.013,0.4209,0.53139,0.36282,1.0225,0.92076,0.91341,0.97019,0.85061,0.92247,0.92291,0.97536,0.88139,0.5396,0.429,0.47329,0.95932,0.000988079,0.000988079,0.000988079
9,684,0.40883,0.49987,0.34655,1.01533,0.89984,0.94047,0.97524,0.832,0.89128,0.9549,0.97839,0.89316,0.56858,0.42105,0.47987,0.99033,0.000984449,0.000984449,0.000984449
10,758.216,0.40397,0.50107,0.3396,1.00894,0.8424,0.80457,0.8877,0.58366,0.871,0.816,0.90755,0.63596,1.04422,0.48227,1.11829,1.30012,0.000980345,0.000980345,0.000980345
11,831.934,0.39598,0.48833,0.32896,1.00584,0.96513,0.9543,0.98336,0.88124,0.96835,0.95971,0.98603,0.90125,0.48951,0.39985,0.37277,0.94823,0.000975773,0.000975773,0.000975773
12,905.555,0.38784,0.47515,0.32185,0.99599,0.96664,0.94348,0.9856,0.89058,0.97091,0.94829,0.98798,0.91712,0.48875,0.38974,0.4127,0.92433,0.000970736,0.000970736,0.000970736
13,979.239,0.38165,0.47639,0.31497,0.99822,0.95116,0.92243,0.9787,0.87996,0.96318,0.92063,0.98118,0.90835,0.51368,0.40693,0.4345,0.96827,0.000965239,0.000965239,0.000965239
14,1053.12,0.37816,0.47231,0.31204,0.99605,0.96087,0.95976,0.98785,0.89796,0.9623,0.96705,0.98996,0.91631,0.45193,0.42061,0.35585,0.89562,0.000959289,0.000959289,0.000959289
15,1126.78,0.37481,0.46742,0.30981,0.99266,0.96232,0.93685,0.98031,0.87607,0.96479,0.93925,0.98355,0.89853,0.49195,0.41773,0.49578,0.92203,0.000952889,0.000952889,0.000952889
16,1200.15,0.37753,0.46318,0.30711,0.98993,0.96911,0.96753,0.99055,0.90225,0.97393,0.97234,0.99164,0.9288,0.45295,0.35006,0.3292,0.88175,0.000946048,0.000946048,0.000946048
17,1274.15,0.37502,0.45754,0.30258,0.98975,0.96168,0.96591,0.99065,0.90473,0.96821,0.96452,0.99106,0.92696,0.45506,0.3623,0.37782,0.87151,0.000938772,0.000938772,0.000938772
18,1347.77,0.35869,0.44925,0.28853,0.98214,0.96274,0.9634,0.98896,0.84366,0.96635,0.96701,0.99024,0.87662,0.47498,0.3576,0.40013,0.89169,0.000931067,0.000931067,0.000931067
19,1421.07,0.36211,0.44987,0.29465,0.98036,0.96792,0.95971,0.98958,0.91593,0.97382,0.96572,0.99141,0.93038,0.42138,0.36028,0.31221,0.85052,0.000922942,0.000922942,0.000922942
20,1494.62,0.35363,0.4442,0.28105,0.97587,0.95213,0.93292,0.97927,0.90834,0.97223,0.92642,0.98287,0.91972,0.4183,0.35345,0.38002,0.88015,0.000914405,0.000914405,0.000914405
21,1567.7,0.3511,0.42861,0.27614,0.97703,0.96748,0.9567,0.98904,0.90915,0.97429,0.96332,0.99009,0.9285,0.43186,0.35699,0.3692,0.88207,0.000905463,0.000905463,0.000905463
22,1642.09,0.35554,0.44223,0.28082,0.97714,0.97798,0.96122,0.99205,0.92195,0.9742,0.97354,0.99318,0.93671,0.39115,0.33436,0.30654,0.82988,0.000896127,0.000896127,0.000896127
23,1715.79,0.34816,0.43737,0.27698,0.97514,0.97619,0.96813,0.99051,0.91288,0.97609,0.97835,0.99292,0.92989,0.43571,0.34132,0.32511,0.88972,0.000886404,0.000886404,0.000886404
24,1789.02,0.34321,0.42988,0.26886,0.96783,0.97484,0.97354,0.9922,0.92736,0.97649,0.98016,0.99289,0.93864,0.395,0.33063,0.28101,0.83555,0.000876305,0.000876305,0.000876305
25,1862.68,0.33857,0.42316,0.2629,0.96717,0.96942,0.97208,0.99205,0.91975,0.97189,0.97775,0.99275,0.93013,0.39185,0.33959,0.32695,0.82533,0.000865839,0.000865839,0.000865839
26,1936.38,0.34414,0.4271,0.26771,0.96983,0.97802,0.96452,0.99206,0.92892,0.97332,0.97474,0.99266,0.93845,0.38001,0.3265,0.28096,0.8047,0.000855018,0.000855018,0.000855018
27,2009.86,0.33373,0.41803,0.26328,0.96553,0.97473,0.97428,0.99234,0.92402,0.97932,0.97956,0.99368,0.93822,0.39728,0.32442,0.30438,0.82721,0.000843851,0.000843851,0.000843851
28,2083.28,0.33569,0.41707,0.26064,0.9619,0.97407,0.97414,0.99285,0.9201,0.97891,0.97895,0.99351,0.9406,0.38216,0.32133,0.35567,0.82799,0.000832349,0.000832349,0.000832349
29,2156.95,0.33127,0.4114,0.25687,0.9619,0.97417,0.97504,0.99228,0.93164,0.97727,0.98224,0.99326,0.9415,0.38086,0.31615,0.27417,0.81867,0.000820525,0.000820525,0.000820525
30,2230.7,0.32987,0.41745,0.25376,0.96063,0.97777,0.97414,0.9924,0.93969,0.97954,0.97889,0.99321,0.94432,0.32608,0.31269,0.26895,0.75297,0.000808389,0.000808389,0.000808389
31,2303.96,0.32591,0.41187,0.25261,0.95688,0.98048,0.96753,0.9928,0.93789,0.98465,0.97174,0.99347,0.94391,0.33768,0.30409,0.31326,0.76227,0.000795954,0.000795954,0.000795954
32,2377.1,0.3282,0.4141,0.25495,0.96094,0.97585,0.97835,0.99326,0.93492,0.97898,0.98032,0.99356,0.94434,0.36355,0.31203,0.29008,0.80449,0.000783231,0.000783231,0.000783231
33,2450.48,0.32347,0.41064,0.24909,0.95361,0.97725,0.98147,0.99342,0.93844,0.98026,0.98537,0.99395,0.94354,0.34402,0.31174,0.28657,0.7745,0.000770234,0.000770234,0.000770234
34,2523.4,0.31903,0.3975,0.24332,0.95305,0.98492,0.97414,0.99294,0.94389,0.98767,0.97715,0.99361,0.94887,0.34016,0.3062,0.27752,0.76084,0.000756976,0.000756976,0.000756976
35,2596.53,0.32003,0.4016,0.24043,0.95433,0.98112,0.97715,0.99332,0.93235,0.98542,0.98136,0.99377,0.94445,0.36066,0.30316,0.29367,0.79528,0.000743468,0.000743468,0.000743468
36,2669.35,0.31367,0.39585,0.23759,0.94884,0.98252,0.97997,0.99348,0.94527,0.98615,0.985,0.9939,0.94999,0.3534,0.29941,0.26653,0.78516,0.000729725,0.000729725,0.000729725
